Bell state,Server expect,Fidelity
1,0,0.4491803278688525
Bell state,Server expect,Fidelity
2,1,0.49
experiment,5cfad1b763be5c006e862cc0
date,2019-06-07T21:54:45.492Z
0000000000000000,53
0000000000000010,168
0000000000000100,15
0000000000000110,47
0001000000000000,58
0001000000000010,137
0001000000000100,10
0001000000000110,54
0010000000000000,38
0010000000000010,145
0010000000000100,19
0010000000000110,51
0011000000000000,48
0011000000000010,124
0011000000000100,8
0011000000000110,49
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
cx l[13], l[1];
h l[13];
h l[2];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
