Bell state,Server expect,Fidelity
1,1,0.47761194029850745
Bell state,Server expect,Fidelity
2,0,0.45901639344262296
experiment,5cfad1bb43e51900734e1f54
date,2019-06-07T21:55:05.129Z
0000000000000000,63
0000000000000010,136
0000000000000100,21
0000000000000110,70
0001000000000000,61
0001000000000010,140
0001000000000100,11
0001000000000110,64
0010000000000000,53
0010000000000010,132
0010000000000100,18
0010000000000110,49
0011000000000000,47
0011000000000010,112
0011000000000100,9
0011000000000110,38
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
