Bell state,Server expect,Fidelity
3,0,0.5692307692307692
Bell state,Server expect,Fidelity
4,1,0.6
experiment,5cfad1c1327134007753dbcd
date,2019-06-07T21:55:25.976Z
0000000000000000,56
0000000000000010,119
0000000000000100,15
0000000000000110,86
0001000000000000,74
0001000000000010,163
0001000000000100,15
0001000000000110,46
0010000000000000,51
0010000000000010,103
0010000000000100,6
0010000000000110,68
0011000000000000,47
0011000000000010,134
0011000000000100,9
0011000000000110,32
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
cx l[13], l[1];
h l[13];
h l[2];
x l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
