Bell state,Server expect,Fidelity
3,1,0.7272727272727273
Bell state,Server expect,Fidelity
4,0,0.4492753623188406
experiment,5cfad1c69bb71c0078882e8b
date,2019-06-07T21:55:45.795Z
0000000000000000,59
0000000000000010,132
0000000000000100,6
0000000000000110,81
0001000000000000,59
0001000000000010,150
0001000000000100,16
0001000000000110,46
0010000000000000,38
0010000000000010,130
0010000000000100,8
0010000000000110,72
0011000000000000,31
0011000000000010,119
0011000000000100,15
0011000000000110,62
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
x l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
