Bell state,Server expect,Fidelity
1,1,0.5210084033613446
Bell state,Server expect,Fidelity
2,0,0.47560975609756095
experiment,5cfad1ca9bb71c0078882e8d
date,2019-06-07T21:56:05.408Z
0000000000000000,61
0000000000000010,150
0000000000000100,18
0000000000000110,57
0001000000000000,64
0001000000000010,151
0001000000000100,5
0001000000000110,62
0010000000000000,50
0010000000000010,129
0010000000000100,12
0010000000000110,52
0011000000000000,41
0011000000000010,117
0011000000000100,10
0011000000000110,45
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
