Bell state,Server expect,Fidelity
1,1,0.41025641025641024
Bell state,Server expect,Fidelity
2,0,0.54
experiment,5cfb1d4834eecc006fd42f86
date,2019-06-08T02:36:47.189Z
0000000000000000,164
0000000000000010,15
0000000000000100,38
0000000000000110,23
0001000000000000,151
0001000000000010,26
0001000000000100,31
0001000000000110,16
0010000000000000,203
0010000000000010,23
0010000000000100,65
0010000000000110,17
0011000000000000,193
0011000000000010,27
0011000000000100,19
0011000000000110,13
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
x l[13];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
