Bell state,Server expect,Fidelity
1,1,0.3235294117647059
Bell state,Server expect,Fidelity
2,0,0.6170212765957447
experiment,5cfb1d7342519f006f7a6c6a
date,2019-06-08T02:38:57.226Z
0000000000000000,161
0000000000000010,18
0000000000000100,43
0000000000000110,23
0001000000000000,132
0001000000000010,28
0001000000000100,23
0001000000000110,11
0010000000000000,202
0010000000000010,18
0010000000000100,59
0010000000000110,20
0011000000000000,217
0011000000000010,29
0011000000000100,26
0011000000000110,14
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
x l[13];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
