Bell state,Server expect,Fidelity
3,0,0.5
Bell state,Server expect,Fidelity
4,1,0.52
experiment,5cfb1d77711ca80077371292
date,2019-06-08T02:39:20.098Z
0000000000000000,147
0000000000000010,38
0000000000000100,34
0000000000000110,12
0001000000000000,147
0001000000000010,29
0001000000000100,29
0001000000000110,30
0010000000000000,173
0010000000000010,34
0010000000000100,36
0010000000000110,19
0011000000000000,197
0011000000000010,24
0011000000000100,39
0011000000000110,36
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
x l[13];
cx l[13], l[1];
h l[13];
h l[2];
x l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
