Bell state,Server expect,Fidelity
1,0,0.5777777777777777
Bell state,Server expect,Fidelity
2,1,0.4166666666666667
experiment,5cfb1d7b34eecc006fd42f88
date,2019-06-08T02:39:41.416Z
0000000000000000,148
0000000000000010,19
0000000000000100,42
0000000000000110,19
0001000000000000,150
0001000000000010,26
0001000000000100,32
0001000000000110,21
0010000000000000,217
0010000000000010,25
0010000000000100,35
0010000000000110,21
0011000000000000,194
0011000000000010,35
0011000000000100,25
0011000000000110,15
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
x l[13];
cx l[13], l[1];
h l[13];
h l[2];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
