Bell state,Server expect,Fidelity
3,1,0.5735294117647058
Bell state,Server expect,Fidelity
4,0,0.44166666666666665
experiment,5cfb1d7fd1e6fc0072fb7df4
date,2019-06-08T02:40:01.498Z
0000000000000000,177
0000000000000010,38
0000000000000100,29
0000000000000110,18
0001000000000000,109
0001000000000010,21
0001000000000100,39
0001000000000110,33
0010000000000000,201
0010000000000010,37
0010000000000100,28
0010000000000110,16
0011000000000000,159
0011000000000010,31
0011000000000100,57
0011000000000110,31
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
x l[13];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
x l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
