Bell state,Server expect,Fidelity
1,1,0.40476190476190477
Bell state,Server expect,Fidelity
2,0,0.5789473684210527
experiment,5cfc18ceb38545006e861a34
date,2019-06-08T20:32:21.448Z
0000000000000000,167
0000000000000010,36
0000000000000100,28
0000000000000110,25
0001000000000000,177
0001000000000010,30
0001000000000100,37
0001000000000110,17
0010000000000000,191
0010000000000010,16
0010000000000100,33
0010000000000110,16
0011000000000000,192
0011000000000010,22
0011000000000100,25
0011000000000110,12
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
y l[13];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
