Bell state,Server expect,Fidelity
3,0,0.5029585798816568
Bell state,Server expect,Fidelity
4,1,0.39344262295081966
experiment,5cfc18d2d1e6fc0072fb7e94
date,2019-06-08T20:32:41.099Z
0000000000000000,168
0000000000000010,29
0000000000000100,45
0000000000000110,22
0001000000000000,170
0001000000000010,33
0001000000000100,54
0001000000000110,38
0010000000000000,168
0010000000000010,22
0010000000000100,37
0010000000000110,17
0011000000000000,153
0011000000000010,17
0011000000000100,24
0011000000000110,27
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
y l[13];
cx l[13], l[1];
h l[13];
h l[2];
x l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
