Bell state,Server expect,Fidelity
1,0,0.509090909090909
Bell state,Server expect,Fidelity
2,1,0.3611111111111111
experiment,5cfc18d77a5977006eae3e0b
date,2019-06-08T20:33:00.780Z
0000000000000000,171
0000000000000010,27
0000000000000100,41
0000000000000110,30
0001000000000000,175
0001000000000010,28
0001000000000100,34
0001000000000110,17
0010000000000000,182
0010000000000010,24
0010000000000100,33
0010000000000110,23
0011000000000000,177
0011000000000010,14
0011000000000100,35
0011000000000110,13
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
y l[13];
cx l[13], l[1];
h l[13];
h l[2];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
