Bell state,Server expect,Fidelity
3,1,0.6333333333333333
Bell state,Server expect,Fidelity
4,0,0.4368932038834951
experiment,5cfc18db43e51900734e204c
date,2019-06-08T20:33:21.304Z
0000000000000000,190
0000000000000010,58
0000000000000100,33
0000000000000110,25
0001000000000000,132
0001000000000010,31
0001000000000100,57
0001000000000110,41
0010000000000000,174
0010000000000010,28
0010000000000100,21
0010000000000110,15
0011000000000000,135
0011000000000010,18
0011000000000100,27
0011000000000110,39
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
y l[13];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
x l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
