Bell state,Server expect,Fidelity
1,1,0.5858585858585859
Bell state,Server expect,Fidelity
2,0,0.5219123505976095
experiment,5cfc1c779bb71c0078882f85
date,2019-06-08T20:42:59.814Z
0000000000000000,62
0000000000000010,174
0000000000000100,16
0000000000000110,41
0001000000000000,59
0001000000000010,130
0001000000000100,10
0001000000000110,58
0010000000000000,46
0010000000000010,120
0010000000000100,17
0010000000000110,45
0011000000000000,54
0011000000000010,131
0011000000000100,9
0011000000000110,52
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
z l[13];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
