Bell state,Server expect,Fidelity
1,0,0.44477611940298506
Bell state,Server expect,Fidelity
2,1,0.5
experiment,5cfc1c8098b74600772884b6
date,2019-06-08T20:45:37.989Z
0000000000000000,53
0000000000000010,186
0000000000000100,17
0000000000000110,58
0001000000000000,61
0001000000000010,149
0001000000000100,8
0001000000000110,42
0010000000000000,28
0010000000000010,132
0010000000000100,19
0010000000000110,51
0011000000000000,36
0011000000000010,127
0011000000000100,6
0011000000000110,51
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
z l[13];
cx l[13], l[1];
h l[13];
h l[2];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
