Bell state,Server expect,Fidelity
3,1,0.7037037037037037
Bell state,Server expect,Fidelity
4,0,0.5238095238095238
experiment,5cfc1c83b38545006e861a37
date,2019-06-08T20:47:02.879Z
0000000000000000,56
0000000000000010,137
0000000000000100,8
0000000000000110,92
0001000000000000,44
0001000000000010,150
0001000000000100,19
0001000000000110,63
0010000000000000,40
0010000000000010,129
0010000000000100,9
0010000000000110,63
0011000000000000,44
0011000000000010,116
0011000000000100,21
0011000000000110,33
qasm,"
include ""qelib1.inc"";
qreg l[14];
creg c[14];
h l[1];
cx l[1], l[2];
h l[12];
cx l[12], l[2];
z l[13];
cx l[13], l[1];
h l[13];
h l[2];
z l[12];
x l[12];
measure l[1] -> c[1];
measure l[2] -> c[2];
measure l[12] -> c[12];
measure l[13] -> c[13];"
type,GHZ-like
