Bell state,Server expect,Fidelity
1,1,0.52
Bell state,Server expect,Fidelity
2,0,0.4793814432989691
experiment,5cfc30e534eecc006fd43051
date,2019-06-08T22:18:47.041Z
0000000000000000,71
0000000000000010,113
0000000000000100,36
0000000000000110,84
0000000000001000,25
0000000000001010,117
0000000000001100,26
0000000000001110,91
0010000000000000,44
0010000000000010,101
0010000000000100,38
0010000000000110,72
0010000000001000,22
0010000000001010,93
0010000000001100,12
0010000000001110,79
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
cx g[13], g[1];
h g[13];
h g[2];
z g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
