Bell state,Server expect,Fidelity
1,0,0.43455497382198954
Bell state,Server expect,Fidelity
2,1,0.5227272727272727
experiment,5cfc30edd246160071f92a8f
date,2019-06-08T22:19:29.965Z
0000000000000000,74
0000000000000010,108
0000000000000100,66
0000000000000110,80
0000000000001000,39
0000000000001010,83
0000000000001100,25
0000000000001110,60
0010000000000000,68
0010000000000010,85
0010000000000100,64
0010000000000110,63
0010000000001000,31
0010000000001010,81
0010000000001100,28
0010000000001110,69
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
cx g[13], g[1];
h g[13];
h g[2];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
