Bell state,Server expect,Fidelity
3,1,0.5204081632653061
Bell state,Server expect,Fidelity
4,0,0.5670103092783505
experiment,5cfc30f134eecc006fd43055
date,2019-06-08T22:19:49.777Z
0000000000000000,46
0000000000000010,134
0000000000000100,47
0000000000000110,103
0000000000001000,65
0000000000001010,80
0000000000001100,51
0000000000001110,60
0010000000000000,42
0010000000000010,96
0010000000000100,34
0010000000000110,72
0010000000001000,55
0010000000001010,66
0010000000001100,37
0010000000001110,36
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
cx g[13], g[1];
h g[13];
h g[2];
z g[3];
x g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
