Bell state,Server expect,Fidelity
1,1,0.34265734265734266
Bell state,Server expect,Fidelity
2,0,0.2890625
experiment,5cfc5f4d070e21006dad95e0
date,2019-06-09T01:46:11.687Z
0000000000000000,58
0000000000000010,115
0000000000000100,31
0000000000000110,94
0000000000001000,80
0000000000001010,54
0000000000001100,68
0000000000001110,49
0010000000000000,62
0010000000000010,91
0010000000000100,31
0010000000000110,75
0010000000001000,88
0010000000001010,37
0010000000001100,66
0010000000001110,25
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
x g[13];
cx g[13], g[1];
h g[13];
h g[2];
z g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
