Bell state,Server expect,Fidelity
3,0,0.2689655172413793
Bell state,Server expect,Fidelity
4,1,0.2647058823529412
experiment,5cfc5f51d246160071f92a97
date,2019-06-09T01:46:34.341Z
0000000000000000,106
0000000000000010,82
0000000000000100,63
0000000000000110,67
0000000000001000,39
0000000000001010,85
0000000000001100,28
0000000000001110,99
0010000000000000,77
0010000000000010,44
0010000000000100,75
0010000000000110,56
0010000000001000,47
0010000000001010,64
0010000000001100,27
0010000000001110,65
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
x g[13];
cx g[13], g[1];
h g[13];
h g[2];
x g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
