Bell state,Server expect,Fidelity
1,0,0.3630952380952381
Bell state,Server expect,Fidelity
2,1,0.26666666666666666
experiment,5cfc5f595ee341007ad7ad08
date,2019-06-09T01:47:00.400Z
0000000000000000,63
0000000000000010,107
0000000000000100,41
0000000000000110,103
0000000000001000,83
0000000000001010,61
0000000000001100,76
0000000000001110,51
0010000000000000,54
0010000000000010,92
0010000000000100,32
0010000000000110,66
0010000000001000,78
0010000000001010,35
0010000000001100,58
0010000000001110,24
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
x g[13];
cx g[13], g[1];
h g[13];
h g[2];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
