Bell state,Server expect,Fidelity
3,1,0.20408163265306123
Bell state,Server expect,Fidelity
4,0,0.28125
experiment,5cfc5f5e42519f006f7a6d6a
date,2019-06-09T01:48:07.049Z
0000000000000000,82
0000000000000010,65
0000000000000100,78
0000000000000110,72
0000000000001000,34
0000000000001010,119
0000000000001100,20
0000000000001110,84
0010000000000000,92
0010000000000010,59
0010000000000100,73
0010000000000110,36
0010000000001000,36
0010000000001010,80
0010000000001100,18
0010000000001110,76
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
x g[13];
cx g[13], g[1];
h g[13];
h g[2];
z g[3];
x g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
