Bell state,Server expect,Fidelity
1,1,0.3780487804878049
Bell state,Server expect,Fidelity
2,0,0.4409448818897638
experiment,5cfc65cab1504f007a3f0d12
date,2019-06-09T02:10:50.626Z
0000000000000000,44
0000000000000010,94
0000000000000100,34
0000000000000110,102
0000000000001000,93
0000000000001010,70
0000000000001100,67
0000000000001110,62
0010000000000000,36
0010000000000010,71
0010000000000100,37
0010000000000110,77
0010000000001000,65
0010000000001010,56
0010000000001100,71
0010000000001110,45
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
y g[13];
cx g[13], g[1];
h g[13];
h g[2];
z g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
