Bell state,Server expect,Fidelity
3,0,0.31851851851851853
Bell state,Server expect,Fidelity
4,1,0.2159090909090909
experiment,5cfc65ce711ca8007737133f
date,2019-06-09T02:11:10.621Z
0000000000000000,92
0000000000000010,67
0000000000000100,58
0000000000000110,83
0000000000001000,43
0000000000001010,89
0000000000001100,24
0000000000001110,97
0010000000000000,77
0010000000000010,54
0010000000000100,69
0010000000000110,47
0010000000001000,45
0010000000001010,81
0010000000001100,19
0010000000001110,79
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
y g[13];
cx g[13], g[1];
h g[13];
h g[2];
x g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
