Bell state,Server expect,Fidelity
1,0,0.39375
Bell state,Server expect,Fidelity
2,1,0.32231404958677684
experiment,5cfc65d234eecc006fd43062
date,2019-06-09T02:11:30.361Z
0000000000000000,55
0000000000000010,97
0000000000000100,28
0000000000000110,108
0000000000001000,80
0000000000001010,63
0000000000001100,73
0000000000001110,46
0010000000000000,48
0010000000000010,86
0010000000000100,28
0010000000000110,82
0010000000001000,95
0010000000001010,37
0010000000001100,59
0010000000001110,39
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
y g[13];
cx g[13], g[1];
h g[13];
h g[2];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
