Bell state,Server expect,Fidelity
1,1,0.6928571428571428
Bell state,Server expect,Fidelity
2,0,0.6171875
experiment,5cfcf22d3dfe94007671f706
date,2019-06-09T12:20:47.444Z
0000000000000000,108
0000000000000010,57
0000000000000100,100
0000000000000110,43
0000000000001000,48
0000000000001010,100
0000000000001100,30
0000000000001110,97
0010000000000000,83
0010000000000010,49
0010000000000100,63
0010000000000110,32
0010000000001000,38
0010000000001010,79
0010000000001100,23
0010000000001110,74
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
z g[13];
cx g[13], g[1];
h g[13];
h g[2];
z g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
