Bell state,Server expect,Fidelity
1,0,0.6666666666666666
Bell state,Server expect,Fidelity
2,1,0.6867469879518072
experiment,5cfcf23634eecc006fd430d8
date,2019-06-09T12:21:26.608Z
0000000000000000,137
0000000000000010,61
0000000000000100,109
0000000000000110,31
0000000000001000,30
0000000000001010,122
0000000000001100,26
0000000000001110,67
0010000000000000,118
0010000000000010,38
0010000000000100,72
0010000000000110,26
0010000000001000,25
0010000000001010,78
0010000000001100,27
0010000000001110,57
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
z g[13];
cx g[13], g[1];
h g[13];
h g[2];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"
type,GHZ
