Bell state,Server expect,Fidelity
3,1,0.6756756756756757
Bell state,Server expect,Fidelity
4,0,0.7375886524822695
experiment,5cfcf23906c6bc0073aab1b8
date,2019-06-09T12:21:51.015Z
type,GHZ
0000000000000000,47
0000000000000010,123
0000000000000100,48
0000000000000110,84
0000000000001000,107
0000000000001010,33
0000000000001100,100
0000000000001110,13
0010000000000000,37
0010000000000010,84
0010000000000100,26
0010000000000110,82
0010000000001000,104
0010000000001010,31
0010000000001100,85
0010000000001110,20
qasm,"
include ""qelib1.inc"";
qreg g[14];
creg c[14];
h g[1];
cx g[1], g[2];
cx g[2], g[3];
z g[13];
cx g[13], g[1];
h g[13];
h g[2];
z g[3];
x g[3];
measure g[1] -> c[1];
measure g[2] -> c[2];
measure g[3] -> c[3];
measure g[13] -> c[13];"

